pair_id,customer_id,customer_text,brand_text,customer_tweet_id,brand_tweet_id,created_at
17990,542907,"@SpotifyCares Crazy behavior. Uninstalled, reinstalled, launched the app for the first time, correct icons are there for a split second then back to this.","@542907 Hey Christopher, help's here. Can you try logging out of Spotify, restarting your device, and logging back in? Any better? /NY",1807113,1807111,Sat Oct 14 05:38:28 +0000 2017
23347,637789,@SpotifyCares after the update to mac 10.13 the media keys only work for about 10-15 min after that there is no Spotify response. Restart of the app doesn't help need to restart the whole system,@637789 Hey there! Can you let us know the Spotify version that you're using? We'll see what we can suggest /RC,2175493,2175492,Thu Nov 09 12:44:46 +0000 2017
6396,285876,@SpotifyCares how do I find and copy the link to my Spotify profile if I signed up with Facebook?,@285876 Hey Callie! Is this what you're looking for: https://t.co/RT7XNMNEAr? /MO,695445,695444,Thu Oct 05 22:12:01 +0000 2017
12457,413761,@115888 Cancelled due to your policy with the family plan.  My adult children can’t use my plan because they don’t live in my house.,"@413761 Hey David! Currently, all members of a Premium for Family plan must reside at the same address. We're passing on all feedback about this /FR",1119759,1252270,Thu Oct 26 04:22:35 +0000 2017
8197,324783,@115888 when are you coming to Israel???,@324783 hey there! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP 🙂 /DH,862420,862419,Mon Oct 09 14:58:59 +0000 2017
9562,352559,@115888 Would be great if you guys actually accepted PayPal for student premium.,"@352559 Hey! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ",980827,980826,Sun Oct 22 03:11:53 +0000 2017
14621,466611,@115888 when will you extent yourself to South Africa Please 😩😩🙏🏽🙏🏽🇿🇦,@466611 Hi there. We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /QI,1492579,1492578,Sun Nov 12 12:40:58 +0000 2017
20857,116890,@SpotifyCares They're back now. I was on my phone's 4g earlier. I don't know what happened but when I connected to my wifi it returned. Thank you though.,@116890 1: Great! Glad to hear everything's okay now. It could have been just a delay when the app was loading. Just let us know if we can help...,5023,5024,Tue Oct 31 23:12:05 +0000 2017
10388,371858,@SpotifyCares A good idea would be to interlink it into the application already so that a specific song plays as a alarm ringtone whenever needed 👍,"@371858 We're afraid we don't have any more info on this right now, but we'll let our devs know that this is something that you'd like to have 🙂 /CH",1067252,1067253,Sat Oct 14 23:09:37 +0000 2017
14787,470493,@SpotifyCares USA,"@470493 Thanks! We’d love to have all the world's music available to you, but we have some info about content here: https://t.co/0i8GpimuDa /LP",1510043,1510045,Fri Nov 03 14:34:22 +0000 2017
13713,441430,@117153 will any updates be coming through to fix the iOS 11 Bluetooth shuffle problem?,"@441430 Hey there. Can you tell us more about what's happening? What devices, operating sytem, and Spotify version are you using? /AY",1380913,1380912,Mon Nov 13 08:13:47 +0000 2017
14432,462395,Sometimes I feel personally offended when @115888's Discover Weekly doesn't get me.,@462395 Hey Levi! Your Discover Weekly should improve as it gets to know you. Keep adding your fav tracks to Your Library/playlists 🙂 /DQ,1474909,1474908,Wed Nov 01 20:36:18 +0000 2017
28532,392813,"@SpotifyCares Erm, I am Premium! 🙄😡 https://t.co/ngM2Xmqvxd",@392813 Hey Ross! Can you try the steps here for us: https://t.co/EqisDMwZAT? They should help with this /KC,2594569,2594567,Fri Nov 17 02:40:54 +0000 2017
13641,439125,I don’t understand why my @115888 scratches at times lol,"@439125 Hey there! What device, operating system, and Spotify version are you using? /RB",1370958,1370957,Fri Oct 27 23:27:05 +0000 2017
25624,291009,@SpotifyCares Have y'all had any reports of album artwork not begin displayed? Like this: https://t.co/6E2nBoZMji,@291009 Hey Brian! Can you let us know what Android and Spotify versions you're running? We'll see what we can suggest /AN,2317189,2317188,Thu Oct 19 21:29:51 +0000 2017
25622,671799,I wonder when @115888 is going to let us regular podcasters on their service? Are they only going to feature famous podcasters or famous shows? Us little guys deserve a chance too. We have audiences that deserve our content as well.,"@671799 Hey, we hear you! We suggest adding your vote at https://t.co/9AHL8STQNa to help make this possible /RE",2317068,2317067,Mon Nov 13 06:57:23 +0000 2017
30602,778594,@SpotifyCares son can't accept link for family subscription. Gets a 503 gateway error on website. Help please?,@778594 Hi Pauline! Could you ask him to try accepting the invitation on another browser or incognito window? Let us know how it plays out /NJ,2789376,2789375,Tue Nov 21 18:27:54 +0000 2017
27657,717059,@SpotifyCares Gooood lookin,"@717059 Cool! If you ever need us again, just... https://t.co/AUc7DGJpgF 💚 /KT",2517250,2517253,Thu Nov 16 00:35:37 +0000 2017
12668,417032,"@SpotifyCares, guys, could you please fix this artist? This is not The Real Tune, this is Lil Wayne. All of this: https://t.co/m4gA6hV4WB",@417032 Thanks. We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /MX,1268546,1268545,Thu Oct 26 12:44:18 +0000 2017
3054,197771,"@SpotifyCares Hey, it’s MacOS High Sierra 10.13 and Spotify 1.0.66.478.g1296534d","@197771 Thanks! Are you getting any error messages? If you can send us a screenshot of what you're seeing, that'd be great /PL",343535,343533,Thu Oct 26 08:07:36 +0000 2017
27199,385297,@SpotifyCares Thanks!!! Looking forward 🙏🏻,"@385297 Cool! If you need us again, you know where to find us. https://t.co/uEkAlnxbzn 🙂 /JN",2476380,2476382,Wed Nov 15 14:08:33 +0000 2017
12855,419677,@SpotifyCares the song can't be played because it's not selena gomez. it was sabotaged. fix this,@419677 Thanks. Can you send us the Song Link with error? Just tap the three dots &gt; Share &gt; Copy Link. We'll check things out /NG,1280802,1280804,Thu Oct 26 17:08:05 +0000 2017
6789,294261,@116380 hey!got your email about student premium discounts and i was wondering as to why high schools werent eligible? &amp;only unis are?,"@294261 Hey Nora! We're sorry to hear you're ineligible for the discounted rate. Don't worry, we'll pass on your feedback to the right team /GK",727429,727428,Wed Oct 11 06:28:46 +0000 2017
24421,386987,@SpotifyCares please advise,"@386987 Hi! Can you tell us more about what's happening? What device, operating system, and Spotify version are you using? We'll check backstage /JE",2251379,2251378,Fri Nov 10 19:21:10 +0000 2017
31046,787774,@115888 does the app just not work in Fiji or something? Cause I’ve been trying to sign up and it won’t let me😩😭,@787774 Hey there! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /KL,2828710,2828709,Mon Nov 27 07:21:24 +0000 2017
14193,455680,@SpotifyCares https://t.co/HwZNhWVeY4,"@455680 Thanks. We'll get this reported. If you ever need anything else, just shout and we'll come running 🏃 /JX",1446596,1446598,Thu Nov 02 16:14:39 +0000 2017
9193,344835,You know what could be great @115888 allowing me to block certain singers from ever coming up on my spotify radio,"@344835 Hey! This isn't possible right now, but you can show your support for the idea on our Community: https://t.co/oGDLtirXki /NQ",948058,948057,Tue Oct 10 23:41:38 +0000 2017
