id,customer_text,brand_text,auto_intent,auto_confidence,auto_decision,auto_reason,human_intent,human_decision,human_reason,notes
1,What happened to the @115888 iOS app? Literally unusable after this last update. Going to have to cancel my subscription. @129941 @115948 which one of y’all should I switch to?,@769817 Hey Joshua! We’re working on the iOS app as we speak. Stay tuned! /LO,playback_technical_issue,0.72,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,playback_technical_issue,escalate,Customer threatens to cancel and asks for competitor recommendations,
2,"@SpotifyCares Didn't work 😓 I'll wait a few more days, but I might just cancel since I can't get it to work 💔 thanks again for helping!!","@483711 That's odd. Just to check, are you also experiencing this issue with other similar apps? /NS",playback_technical_issue,0.72,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,playback_technical_issue,escalate,Mentions cancelling if unresolved — retention risk,
3,@SpotifyCares Its becoming inbearable. I cant listen to anything with headphones in. I am going to unsubscribe from premium if it continues,"@210396 We understand. Can you shoot us a DM of your account's username or email address, and the date when it last happened. We'll see what we can suggest /PK https://t.co/ldFdZRiNAt",playback_technical_issue,0.82,auto_handle,Standard playback technical issue inquiry with adequate grounding (moderate).,playback_technical_issue,escalate,Mentions cancelling if unresolved — retention risk,
4,@SpotifyCares is it correct the Spotify web player doesn't have a play queue feature? I've been a happy paying Spotify customer for about 10 years but now I have a Chromebook I may have to cancel. It also freezes all the time :'(,"@230511 Hey Natasha, sorry to hear that. We're afraid Play Queue isn't available on web player right now, but we'll let the right team know it's something you'd like to see. Can you confirm your Chrome OS and Google Chrome are up-to-date? /JE",playback_technical_issue,0.72,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,playback_technical_issue,escalate,"10-year customer signals possible cancellation — high retention value, human should handle",
5,@115888 @115888 Cancel that! It’s happening across my entire computer. Must be a bigger problem.,"@661795 Hey Bob! If you need help from us, we'd be glad to lend a hand. Just let us know /JP",playback_technical_issue,0.72,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,playback_technical_issue,escalate,"Message lacks context — unclear what ""that"" refers to, unclear scope of ""bigger problem,"" too ambiguous for a bot to safely respond",
6,@115888 so your app just decides to stop playing music... great! #refund,"@437800 Hey, that doesn't sound fun! Can you let us know more about what's happening? What device, OS, and Spotify version are you using? /MA",playback_technical_issue,0.78,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
7,@115888 Had to downgrade V1.0.3 to work around problems importing mp3's and available songs not playing,"@403879 Hi Ann. Don't worry, help's here. Can you tell us exactly what's going on? We'll see what we can suggest /JU",playback_technical_issue,0.82,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
8,@115888 how do I turn off the autolaunch? Every time I get in my car your app takes over! I don't pay to get frustrated!!! I will cancel my family subscription if this isn't resolved.,@671846 Hi! Driving Mode will auto launch once the app detects your car's Bluetooth connection. Can you try disabling this to see if it helps? /DR,playback_technical_issue,0.72,escalate,Message contains multiple exclamation or question marks indicating urgency/distress.,,,,
9,@SpotifyCares Im about to cancel your garbage app. Wont open &amp; when it does takes 4ever to load the song I want IF it even will play. Y$4it?,"@278994 Hi Jennifer. Don't worry, help's here. Can you tell us what device, operating system, and exact app version you're using? /JU",playback_technical_issue,0.85,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
10,I'm going to have to cancel my @115888 subscription because its so messed up I cant listen to a single song without it activating Siri and skipping ahead and skipping mid song at the slightest physical movement of my iphone,"@760411 Hey Madison, help's here! What device/OS and Spotify version you're using? Meanwhile, have you tried using Spotify manually? We'll see what we can suggest /LD",playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
11,@SpotifyCares I can reach the speakers through the Sonos app. It appears to be Spotify Connect that's now broken. How do I downgrade?,@289678 Hey David! What operating system are you using? Is your Sonos not showing up at all from the Connect picker? We'll help out /CM,playback_technical_issue,0.72,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
12,@SpotifyCares Spotify keeps stopping and starting. Songs won’t play through the home screen. Can I have a refund for premium? #veryfrustrated !,"@294503 Hi Michael, help's arrived! We have some info we'd like to share with you via DM. Let's carry on chatting there /DV https://t.co/ldFdZRiNAt",playback_technical_issue,0.78,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
13,@SpotifyCares I’m about to cancel my account if you cannot resolve this. I have done what you requested and it is still occurring.,"@151215 Sorry to hear that. Can let us know what's happening exactly? Also, could you send us the device, operating system, and Spotify version you're using? We'll see what we can suggest /RS",playback_technical_issue,0.72,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
14,"@SpotifyCares I'm a premium user and after updating Spotify based on the program notification I get ""Cannot find 'API-MS-WIN-CORE-PROCESSTHREADS-L1-1-2.DLL'. I'm using Windows 7 64bit.","@248476 1: Hey there! Can you try right clicking your task bar &gt; Start Task Manager &gt; Processes, and then end any processes by Spotify. Afterwards, delete the Spotify folders found in C:\Users\USERNAME\AppData\Roaming and C:\Users\USERNAME\AppData\Local.",playback_technical_issue,0.92,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
15,@SpotifyCares it will play about 2 songs and cut off wont let me press shuffle play again i swipe the app away get the same thing two songs then cuts off,"@330177 Hmm. What device, operating system, and app version are you using? We'll see what we can suggest /LP",playback_technical_issue,0.95,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
16,"@SpotifyCares When you paste in the link of artists Spotify page and then press the ""add"" button nothing happens. https://t.co/z4Z1zPWa52",@315100 That's strange. Can you try it again using an incognito/private window? Let us know if that helps /QI,playback_technical_issue,0.75,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
17,"@117153 No songs are available via desktop, updated program. You do such a good job of never resolving this perennial issue.","@405437 Hi Paul, help's here! Is this only happening while on Desktop? Also, can you send us a screenshot of what you're seeing on your end?  /TY",playback_technical_issue,0.82,auto_handle,Standard playback technical issue inquiry with adequate grounding (strong).,,,,
